time,reward_energy,reward_comfort,TSupSetHea,CorTRooSetCoo,CorTRooSetHea,NorTRooSetCoo,NorTRooSetHea,SouTRooSetCoo,SouTRooSetHea,EasTRooSetCoo,EasTRooSetHea,WesTRooSetCoo,WesTRooSetHea,res.PFan,res.PHea,res.PCooSen,res.PCooLat,TSupCor.T,TSupEas.T,TSupWes.T,TSupNor.T,TSupSou.T,weaBus.TDryBul,weaBus.relHum,weaBus.HGloHor,TSup.T,TRooAir.y5[1],TRooAir.y3[1],TRooAir.y1[1],TRooAir.y2[1],TRooAir.y4[1]
10800.0,0.0011054603060629566,0,281.54067821256155,303.15,285.15,299.83057733143437,285.15,303.15,281.64356165557484,303.15,285.15,303.15,285.15,-5.002352503120517e-16,0.0,-0.0011054603060624564,-0.0,293.1500754652252,293.1501132731506,293.15013200913836,293.15012067867616,293.1501297696663,261.45,0.73,0.0,293.1500179629975,292.71494837767045,292.3210089762024,292.1969380334797,292.3623463041607,292.1042541398928
14400.0,0.005042767526768182,0,280.52908806794585,303.15,285.15,300.63126370153657,285.15,303.15,282.26784392469665,303.15,285.15,303.15,285.15,-7.586203405491988e-16,0.0,-0.005042767526767423,-0.0,293.1499206921763,293.1498900422798,293.14987667235135,293.14988380136384,293.14986350106653,262.04999999999995,0.73,0.0,293.150137867538,292.6396694441137,292.20067916834415,292.0587959867588,292.25130396960816,292.05589979183884
18000.0,0.0124042657456145,0,280.42746718792097,303.15,285.15,300.96496823177813,285.15,303.15,282.76048146102096,303.15,285.15,303.15,285.15,-9.06676325244482e-16,0.0,-0.012404265745613593,-0.0,293.14968793165497,293.1495578642939,293.14949716816324,293.14953136241314,293.1494847774269,262.04999999999995,0.73,0.0,293.14985774654065,292.52452861877174,292.0414566795503,291.8172290437736,292.09972770446745,291.8862935674831
21600.0,-9464.513674682019,0,280.0,303.15,285.15,300.9937080976317,285.15,303.15,283.3457452930484,303.15,285.15,303.15,285.15,740.7362069740194,8741.084268722623,-17.30680101462407,-0.0,280.1627938787883,280.1627938787883,280.1627938787883,280.1627938787883,280.1627938787883,262.54999999999995,0.73,0.0,293.14944193455443,292.4377392529517,291.91233032582807,291.7266504941119,291.9779237040932,291.74456241927635
25200.0,-8323.774905345917,0,280.0,303.15,285.15,301.0728121792502,285.15,303.15,284.142874195576,303.15,285.15,303.15,285.15,740.7095958998073,7583.649106121985,-0.5837966758755131,-0.0,280.00277905547864,280.00277905547864,280.00277905547864,280.00277905547864,280.00277905547864,262.54999999999995,0.73,0.0,280.1627063120263,290.7100562006413,290.21554501650405,290.18503054158526,290.0052366726985,290.14742258560625
28800.0,-61520.571233593044,0,281.7357100171861,297.15,293.15,300.6700629273717,293.15,297.15,284.7874097060993,297.15,293.15,297.15,293.15,740.8588142340711,60776.91439124549,2.7980281134801537,-0.0,298.0484034669595,302.0673980844446,306.0009571308757,307.06534822987624,281.72199606393565,262.54999999999995,0.77,0.9078947368421053,280.0027759324869,290.3951445220457,289.85905980866517,289.8341308560715,289.6454790970347,289.8017349707883
32400.0,-45533.04553597923,1,280.99513154116835,297.15,293.15,300.4313950025971,293.15,297.15,284.627541605825,297.15,293.15,297.15,293.15,740.9322072817424,44792.15356956476,-0.04024086727751096,-0.0,292.1850815095755,294.6094598428884,300.2009203249122,300.69764904286046,280.9978923388081,263.15,0.77,53.31263371844244,281.72201097232124,293.16947038720446,293.23340132223905,291.4212436076053,293.2530756390789,293.2447501955231
36000.0,-41172.02766775208,1,280.0381026405629,297.15,293.15,300.4144407797068,293.15,297.15,284.6112176562582,297.15,293.15,297.15,293.15,741.0369216757658,40432.04389536332,-1.0531492870057138,-0.0,290.93021142009394,292.60127244441765,298.32555234478195,298.4375376563821,280.03707425341287,264.25,0.71,179.69447154471547,280.99789207517773,293.1975095616726,293.26252327572195,291.87206146277435,293.2016559178743,293.2355718693148
39600.0,-38845.58967716123,2,280.0,297.15,293.15,301.1626698901178,293.15,297.15,283.9255452574839,297.15,293.15,297.15,293.15,741.2467572554858,38104.32487649564,0.018043410107750398,-0.0,290.0251707413426,292.26578533109193,297.12581376904427,297.1672363495843,280.0002884565168,266.45,0.6,297.03446808510637,280.03706874125777,293.158466848613,293.16513539676845,292.07482990986466,293.1589485442942,293.1641250882517
43200.0,-36816.24225209333,2,280.0,297.15,293.15,301.30011785403843,293.15,297.15,283.1805094656993,297.15,293.15,297.15,293.15,741.5937135553628,36074.655752701285,-0.007214163316080994,-0.0,289.2263269378017,292.4174265033933,295.9108926978792,295.87353624116736,280.00048836396434,268.15,0.63,369.4255319148936,280.0002885740578,293.1568711143398,293.16403667643465,292.36195508493705,293.1489109417891,293.1630897734734
46800.0,-37418.35319321769,2,280.0,297.15,293.15,300.48241590807226,293.15,297.15,283.61716147517484,297.15,293.15,297.15,293.15,741.9276466024363,36675.97655027996,0.4489963352988234,-0.0,289.6690766877458,292.6351847707815,295.3395067876739,295.55729696436674,280.00033729876657,269.84999999999997,0.63,298.1751497005988,280.0004883524849,293.15359152811396,293.15996576901,292.7326685125079,293.1507345174432,293.1593500684121
50400.0,-34056.758312711514,2,280.0,297.15,293.15,301.032419794027,293.15,297.15,282.8417197673624,297.15,293.15,297.15,293.15,742.2924046910529,33315.63187858931,-1.1659705688480568,-0.0,288.44425923946125,291.809933863106,293.46033154088207,293.727738543763,279.9940197283855,270.95,0.63,206.07762807717899,280.0003396373171,293.15031462944444,293.15716177882814,292.6763335888637,293.15104417919974,293.15946486191336
54000.0,-33827.72388976214,1,280.46002704350894,297.15,293.15,301.4620090680764,293.15,297.15,282.47629479539864,297.15,293.15,297.15,293.15,742.3062970693734,33085.14821820201,0.2693744907589652,-0.0,288.27439111086363,291.89625042016996,292.81841510084104,293.516807230934,280.4590104410423,272.04999999999995,0.61,149.41169590643275,279.99401366261986,293.1509224812609,293.15372901191375,292.70076908672564,293.1500606492554,293.1565113893664
57600.0,-33705.554129929675,1,280.0,297.15,293.15,301.84952990335313,293.15,297.15,283.1029439122047,297.15,293.15,297.15,293.15,742.2951106422572,32963.35254374676,-0.09352445934258269,-0.0,288.29075961727267,291.95531423891055,292.8814353440589,293.4272783159501,280.000177511255,272.04999999999995,0.64,83.12356979405034,280.45901189570986,293.1504005598747,293.150810569651,292.68871727066727,293.14925024785725,293.15159761423433
